variant,dataset,id,seed,auroc,pr_auc,anom_rate,wall_min
full,skab,0,0,0.8613,0.7483,0.35,0.3
full,skab,0,1,0.8619,0.7524,0.35,0.3
full,skab,0,42,0.8655,0.7591,0.35,0.3
full,skab,1,0,0.8605,0.6155,0.351,0.3
full,skab,1,1,0.8549,0.6082,0.351,0.3
full,skab,1,42,0.857,0.6075,0.351,0.3
full,skab,2,0,0.9013,0.7747,0.313,0.3
full,skab,2,1,0.9231,0.8372,0.313,0.3
full,skab,2,42,0.9054,0.7834,0.313,0.3
full,skab,3,0,0.9613,0.9517,0.352,0.3
full,skab,3,1,0.9665,0.957,0.352,0.3
full,skab,3,42,0.9582,0.9497,0.352,0.3
full,skab,4,0,0.8054,0.4927,0.319,0.3
full,skab,4,1,0.8002,0.4846,0.319,0.3
full,skab,4,42,0.803,0.4889,0.319,0.3
full,smd,machine-1-1,0,0.941,0.6767,0.095,98.9
full,smd,machine-1-1,1,0.9377,0.6652,0.095,96.3
full,smd,machine-1-1,42,0.9389,0.6659,0.095,95.9
full,smd,machine-1-4,0,0.9346,0.2618,0.03,78.8
full,smd,machine-1-4,1,0.9323,0.2602,0.03,78.5
full,smd,machine-1-4,42,0.9337,0.2614,0.03,78.3
full,smd,machine-2-1,0,0.798,0.2973,0.049,78.1
full,smd,machine-2-1,1,0.7972,0.2946,0.049,77.7
full,smd,machine-2-1,42,0.8005,0.2938,0.049,77.8
no_mswea,skab,0,0,0.8506,0.721,0.35,0.2
no_mswea,skab,0,1,0.8502,0.7199,0.35,0.2
no_mswea,skab,0,42,0.8526,0.7235,0.35,0.2
no_mswea,skab,1,0,0.8616,0.6171,0.351,0.2
no_mswea,skab,1,1,0.8651,0.6276,0.351,0.2
no_mswea,skab,1,42,0.8608,0.6156,0.351,0.2
no_mswea,skab,2,0,0.8626,0.6592,0.313,0.2
no_mswea,skab,2,1,0.8565,0.6552,0.313,0.2
no_mswea,skab,2,42,0.8625,0.654,0.313,0.2
no_mswea,skab,3,0,0.9541,0.9498,0.352,0.2
no_mswea,skab,3,1,0.9504,0.946,0.352,0.2
no_mswea,skab,3,42,0.9457,0.9406,0.352,0.2
no_mswea,skab,4,0,0.7928,0.4735,0.319,0.2
no_mswea,skab,4,1,0.7957,0.4776,0.319,0.2
no_mswea,skab,4,42,0.7987,0.4825,0.319,0.2
no_mswea,smd,machine-1-1,0,0.9377,0.6811,0.095,45.7
no_mswea,smd,machine-1-1,1,0.9414,0.6859,0.095,45.7
no_mswea,smd,machine-1-1,42,0.9428,0.6833,0.095,45.8
no_mswea,smd,machine-1-4,0,0.9326,0.2621,0.03,38.1
no_mswea,smd,machine-1-4,1,0.9292,0.2598,0.03,38.0
no_mswea,smd,machine-1-4,42,0.9308,0.2613,0.03,38.1
no_mswea,smd,machine-2-1,0,0.7864,0.2864,0.049,38.1
no_mswea,smd,machine-2-1,1,0.7858,0.2892,0.049,38.0
no_mswea,smd,machine-2-1,42,0.7836,0.2878,0.049,38.0
